team,year,athletes,events,age,height,weight,prev_medals,medals
AFG,1964,8,8,22.0,161.0,64.2,0.0,0
AFG,1968,5,5,23.2,170.2,70.0,0.0,0
AFG,1972,8,8,29.0,168.3,63.8,0.0,0
AFG,1980,11,11,23.6,168.4,63.2,0.0,0
AFG,2004,5,5,18.6,170.8,64.8,0.0,0
AFG,2008,4,4,22.5,179.2,62.8,0.0,1
AFG,2012,6,6,24.8,171.7,60.8,1.0,1
AFG,2016,3,3,24.7,173.7,74.0,1.0,0
AHO,1964,4,4,28.5,171.2,69.4,0.0,0
AHO,1968,5,4,31.0,173.2,67.8,0.0,0
AHO,1972,2,2,38.5,164.0,86.0,0.0,0
AHO,1976,4,4,27.3,174.5,66.0,0.0,0
AHO,1984,13,10,18.2,181.1,69.8,0.0,0
AHO,1988,4,4,25.0,193.0,80.0,0.0,1
AHO,1992,4,4,30.2,178.0,83.5,1.0,0
AHO,1996,7,7,30.1,178.0,83.2,0.0,0
AHO,2000,8,8,30.6,179.1,79.6,0.0,0
AHO,2004,3,3,32.3,183.7,80.0,0.0,0
AHO,2008,4,4,23.0,178.8,74.5,0.0,0
ALB,1996,9,7,26.8,169.0,67.5,0.0,0
ALB,2000,5,5,31.2,167.8,62.9,0.0,0
ALB,2004,7,7,20.9,172.3,70.7,0.0,0
ALB,2008,12,12,27.2,173.4,74.8,0.0,0
ALB,2012,10,9,25.7,176.8,80.2,0.0,0
ALB,2016,6,6,23.7,176.2,67.2,0.0,0
ALG,1968,9,9,25.8,169.8,61.2,0.0,0
ALG,1972,7,5,22.7,173.2,63.5,0.0,0
ALG,1980,63,28,23.4,175.4,69.2,0.0,0
ALG,1984,33,17,24.3,176.8,73.3,0.0,2
ALG,1988,45,29,24.6,176.2,72.8,2.0,0
ALG,1992,36,27,23.8,170.4,63.0,0.0,2
ALG,1996,47,29,24.2,176.0,70.2,2.0,3
ALG,2000,51,42,24.9,174.3,67.9,3.0,5
ALG,2004,71,57,25.1,173.6,67.6,5.0,0
ALG,2008,57,44,25.2,177.0,70.8,0.0,2
ALG,2012,39,29,24.8,174.3,66.9,2.0,1
ALG,2016,74,48,24.0,174.0,68.4,1.0,2
AND,1980,2,1,31.0,180.5,85.5,0.0,0
AND,1984,2,1,35.0,180.5,85.5,0.0,0
AND,1988,4,3,22.2,170.8,64.5,0.0,0
AND,1992,8,5,23.1,171.2,63.7,0.0,0
AND,1996,8,7,24.4,172.4,64.4,0.0,0
AND,2000,5,5,31.0,175.0,69.8,0.0,0
AND,2004,6,6,29.7,173.3,68.5,0.0,0
AND,2008,5,5,26.6,169.0,61.4,0.0,0
AND,2012,6,6,32.0,173.4,68.0,0.0,0
AND,2016,4,4,26.0,171.5,66.2,0.0,0
ANG,1988,33,27,20.1,169.2,61.3,0.0,0
ANG,1992,33,21,23.9,182.3,76.8,0.0,0
ANG,1996,30,8,25.5,180.6,76.8,0.0,0
ANG,2000,30,7,26.8,182.8,80.5,0.0,0
ANG,2004,30,5,26.7,182.9,81.5,0.0,0
ANG,2008,33,8,27.2,182.5,79.1,0.0,0
ANG,2012,35,10,26.4,174.4,70.1,0.0,0
ANG,2016,26,10,27.5,174.5,73.3,0.0,0
ANT,1984,27,17,21.1,176.5,64.8,0.0,0
ANT,1988,25,19,23.3,177.8,65.2,0.0,0
ANT,1992,18,15,25.4,172.3,63.7,0.0,0
ANT,1996,19,9,24.4,167.5,63.3,0.0,0
ANT,2000,4,4,29.5,170.2,69.5,0.0,0
ANT,2004,5,5,20.0,169.0,59.8,0.0,0
ANT,2008,5,5,22.2,176.8,68.4,0.0,0
ANT,2012,4,4,23.0,174.2,68.0,0.0,0
ANT,2016,9,5,22.2,176.8,71.6,0.0,0
ARG,1964,148,78,27.5,175.3,74.0,4.0,1
ARG,1968,132,60,26.1,175.5,73.1,1.0,2
ARG,1972,123,62,26.3,175.7,73.8,2.0,1
ARG,1976,106,50,24.2,175.3,73.9,1.0,0
ARG,1984,115,70,24.9,177.6,73.5,0.0,0
ARG,1988,134,53,25.0,178.7,73.4,0.0,13
ARG,1992,111,68,24.3,176.1,73.5,13.0,2
ARG,1996,221,102,24.5,177.9,75.7,2.0,20
ARG,2000,165,98,25.0,175.8,72.5,20.0,20
ARG,2004,179,86,27.0,177.4,75.2,20.0,49
ARG,2008,145,71,27.1,176.9,74.4,49.0,51
ARG,2012,148,66,27.4,180.0,78.4,51.0,19
ARG,2016,232,80,27.5,178.7,75.2,19.0,22
ARM,2000,26,26,25.6,174.2,75.3,2.0,1
ARM,2004,19,19,26.7,173.8,79.3,1.0,0
ARM,2008,26,24,24.9,173.7,74.5,0.0,6
ARM,2012,31,30,24.9,173.3,73.2,6.0,3
ARM,2016,34,32,24.5,170.3,73.6,3.0,4
ARU,1992,5,4,28.0,171.2,67.2,0.0,0
ARU,1996,3,3,23.3,175.3,79.3,0.0,0
ARU,2000,5,5,19.6,170.2,61.6,0.0,0
ARU,2004,4,4,22.0,175.8,74.0,0.0,0
ARU,2008,2,2,25.5,186.5,80.5,0.0,0
ARU,2012,4,4,23.8,173.0,87.0,0.0,0
ARU,2016,7,6,24.0,174.3,68.7,0.0,0
ASA,1996,7,6,30.9,168.0,91.2,0.0,0
ASA,2000,4,4,27.0,179.8,103.0,0.0,0
ASA,2004,3,3,30.0,172.0,91.7,0.0,0
ASA,2008,4,4,23.5,170.0,59.0,0.0,0
ASA,2012,4,4,22.0,171.0,79.8,0.0,0
ASA,2016,4,4,25.2,176.8,75.2,0.0,0
AUS,1964,392,133,24.4,174.5,70.2,46.0,44
AUS,1968,224,105,23.1,175.0,69.7,44.0,51
AUS,1972,266,110,23.3,175.9,70.9,51.0,20
AUS,1976,274,115,24.0,177.0,71.2,20.0,23
AUS,1980,190,92,22.5,178.3,73.2,23.0,13
AUS,1984,337,137,23.8,177.5,72.6,13.0,52
AUS,1988,339,145,24.9,177.7,72.9,52.0,35
AUS,1992,390,153,23.8,178.3,73.9,35.0,57
AUS,1996,550,211,24.9,175.9,71.8,57.0,132
AUS,2000,788,270,25.8,177.0,72.9,132.0,183
AUS,2004,601,219,25.8,177.5,73.6,183.0,157
AUS,2008,570,219,26.1,177.0,72.4,157.0,149
AUS,2012,514,208,26.3,178.4,73.4,149.0,114
AUS,2016,518,194,26.6,178.6,73.1,114.0,82
AUT,1964,82,54,24.8,175.8,73.6,3.0,0
AUT,1968,59,37,25.9,178.4,75.0,0.0,5
AUT,1972,143,68,26.3,177.4,73.9,5.0,3
AUT,1976,73,44,27.3,178.4,76.2,3.0,1
AUT,1980,92,51,24.6,177.6,73.4,1.0,5
AUT,1984,130,72,25.2,176.9,73.1,5.0,3
AUT,1988,96,62,27.0,180.5,77.3,3.0,1
AUT,1992,127,68,26.2,178.8,74.1,1.0,6
AUT,1996,92,53,27.5,179.2,73.1,6.0,3
AUT,2000,114,68,26.3,179.5,72.4,3.0,4
AUT,2004,92,56,28.4,179.5,73.0,4.0,8
AUT,2008,93,62,27.3,178.0,70.2,8.0,3
AUT,2012,90,69,28.2,176.7,69.5,3.0,0
AUT,2016,85,61,27.4,176.9,70.0,0.0,2
AZE,2000,32,32,26.4,170.7,70.0,1.0,3
AZE,2004,37,36,26.6,172.4,71.5,3.0,5
AZE,2008,44,37,23.8,171.2,69.2,5.0,7
AZE,2012,59,57,25.2,171.8,72.2,7.0,10
AZE,2016,69,62,25.6,175.7,72.0,10.0,18
BAH,1964,12,6,32.7,176.4,77.6,0.0,2
BAH,1968,22,12,27.5,179.8,78.4,2.0,0
BAH,1972,25,13,27.1,181.7,75.5,0.0,0
BAH,1976,19,13,23.2,180.4,74.4,0.0,0
BAH,1984,31,23,22.1,177.3,69.5,0.0,0
BAH,1988,18,15,26.9,177.6,73.5,0.0,0
BAH,1992,18,13,24.6,180.2,76.1,0.0,1
BAH,1996,36,17,27.1,176.3,72.4,1.0,5
BAH,2000,39,18,26.4,175.9,72.4,5.0,11
BAH,2004,28,18,25.8,174.3,72.5,11.0,2
BAH,2008,33,22,26.0,175.6,70.8,2.0,7
BAH,2012,29,16,26.0,176.6,68.8,7.0,4
BAH,2016,38,20,25.6,177.1,68.7,4.0,6
BAN,1988,11,8,23.5,170.8,63.1,0.0,0
BAN,1992,9,6,24.6,169.6,63.0,0.0,0
BAN,1996,4,4,22.8,164.0,55.5,0.0,0
BAN,2000,6,6,20.8,157.7,54.7,0.0,0
BAN,2004,4,4,19.2,168.0,59.0,0.0,0
BAN,2008,5,5,24.4,165.0,59.0,0.0,0
BAN,2012,7,7,20.7,164.3,61.7,0.0,0
BAN,2016,7,7,23.4,166.5,71.8,0.0,0
BAR,1972,20,13,24.4,170.8,71.2,0.0,0
BAR,1976,17,11,23.2,170.4,66.2,0.0,0
BAR,1984,25,16,24.2,179.6,70.6,0.0,0
BAR,1988,26,20,23.4,173.6,70.6,0.0,0
BAR,1992,22,17,26.1,180.8,73.9,0.0,0
BAR,1996,22,21,20.9,172.0,73.4,0.0,0
BAR,2000,28,21,23.5,177.8,73.8,0.0,1
BAR,2004,15,15,23.2,180.3,79.9,1.0,0
BAR,2008,10,10,22.4,182.4,76.2,0.0,0
BAR,2012,8,6,23.5,183.0,74.1,0.0,0
BAR,2016,13,11,25.2,180.7,75.2,0.0,0
BDI,2000,6,5,25.2,178.2,59.8,1.0,0
BDI,2004,7,5,25.0,171.0,57.1,0.0,0
BDI,2008,3,3,24.3,162.7,48.3,0.0,0
BDI,2012,6,6,21.8,172.0,63.8,0.0,0
BDI,2016,10,9,24.5,171.8,59.1,0.0,1
BEL,1964,74,36,25.0,176.5,73.5,4.0,3
BEL,1968,106,55,23.5,176.8,71.7,3.0,3
BEL,1972,106,51,24.7,176.0,72.2,3.0,2
BEL,1976,149,80,22.6,175.3,68.8,2.0,9
BEL,1980,84,51,23.0,176.0,68.2,9.0,1
BEL,1984,86,48,24.1,176.5,72.0,1.0,5
BEL,1988,85,65,24.3,174.8,69.0,5.0,2
BEL,1992,103,70,24.8,177.6,70.9,2.0,3
BEL,1996,81,55,27.1,178.4,71.9,3.0,6
BEL,2000,94,64,25.8,175.1,67.2,6.0,7
BEL,2004,70,41,28.9,175.7,66.8,7.0,3
BEL,2008,112,55,24.9,178.5,70.1,3.0,5
BEL,2012,142,71,27.7,177.4,70.5,5.0,3
BEL,2016,138,74,25.3,176.2,67.7,3.0,21
BEN,1980,17,17,24.0,169.4,62.7,0.0,0
BEN,1984,3,3,25.3,170.7,64.3,0.0,0
BEN,1988,10,7,27.6,176.2,68.2,0.0,0
BEN,1992,7,6,22.4,173.4,69.1,0.0,0
BEN,1996,7,4,25.7,175.4,71.9,0.0,0
BEN,2000,4,4,25.8,172.2,67.8,0.0,0
BEN,2004,4,4,22.8,174.5,67.8,0.0,0
BEN,2008,5,5,24.4,173.4,64.2,0.0,0
BEN,2012,5,5,26.2,174.6,65.2,0.0,0
BEN,2016,6,6,26.5,179.3,78.8,0.0,0
BER,1964,4,2,25.5,177.0,73.0,0.0,0
BER,1968,6,4,29.2,180.7,74.2,0.0,0
BER,1972,9,4,30.0,175.6,76.2,0.0,0
BER,1976,20,12,25.0,176.7,74.0,0.0,1
BER,1984,13,10,25.1,181.2,74.2,1.0,0
BER,1988,14,12,28.6,177.2,71.3,0.0,0
BER,1992,29,20,23.7,172.1,70.5,0.0,0
BER,1996,10,9,30.7,177.8,80.6,0.0,0
BER,2000,7,6,31.9,179.6,81.9,0.0,0
BER,2004,10,7,31.3,176.7,75.6,0.0,0
BER,2008,6,6,24.0,174.0,64.2,0.0,0
BER,2012,8,7,27.8,176.5,67.0,0.0,0
BER,2016,8,8,25.1,174.1,69.1,0.0,0
BHU,1988,6,2,34.0,169.3,66.0,0.0,0
BHU,1992,12,4,22.2,163.7,59.0,0.0,0
BHU,1996,2,2,23.5,163.0,55.0,0.0,0
BHU,2000,2,2,25.0,164.0,53.5,0.0,0
BHU,2004,2,2,25.5,167.5,57.5,0.0,0
BHU,2008,2,2,27.0,169.0,60.0,0.0,0
BHU,2012,2,2,27.5,155.0,60.0,0.0,0
BHU,2016,2,2,25.0,164.0,55.0,0.0,0
BIH,1996,12,12,27.3,176.6,68.7,0.0,0
BIH,2000,11,10,28.5,181.8,71.9,0.0,0
BIH,2004,11,11,27.6,181.1,76.2,0.0,0
BIH,2008,7,7,32.4,180.4,81.0,0.0,0
BIH,2012,8,8,32.1,180.0,78.0,0.0,0
BIH,2016,11,8,25.3,180.2,85.9,0.0,0
BIZ,1972,2,2,66.0,175.0,76.0,0.0,0
BIZ,1976,4,4,44.3,175.3,66.7,0.0,0
BIZ,1984,13,7,22.4,174.6,68.2,0.0,0
BIZ,1988,13,7,22.3,174.2,66.2,0.0,0
BIZ,1992,18,10,22.5,177.2,69.2,0.0,0
BIZ,1996,5,5,26.8,175.8,61.2,0.0,0
BIZ,2000,2,2,21.0,177.5,74.5,0.0,0
BIZ,2004,2,2,23.5,176.5,70.5,0.0,0
BIZ,2008,4,4,26.8,175.8,70.2,0.0,0
BIZ,2012,3,3,27.3,164.0,66.7,0.0,0
BIZ,2016,3,3,27.3,183.7,79.3,0.0,0
BLR,2000,231,109,24.9,171.1,65.6,23.0,22
BLR,2004,192,121,25.5,176.4,73.4,22.0,15
BLR,2008,237,122,25.6,176.5,72.2,15.0,29
BLR,2012,185,110,26.9,177.1,73.0,29.0,23
BLR,2016,142,86,27.3,176.6,71.6,23.0,12
BOL,1968,4,3,39.0,173.5,74.2,0.0,0
BOL,1972,14,9,30.8,170.4,70.4,0.0,0
BOL,1976,5,5,30.8,173.4,67.4,0.0,0
BOL,1984,13,11,28.6,169.9,63.5,0.0,0
BOL,1988,12,12,20.5,177.7,70.9,0.0,0
BOL,1992,21,18,25.0,169.0,60.2,0.0,0
BOL,1996,9,9,22.6,170.2,62.0,0.0,0
BOL,2000,5,5,24.2,173.4,62.0,0.0,0
BOL,2004,11,11,20.5,162.0,54.4,0.0,0
BOL,2008,7,7,32.4,168.7,66.5,0.0,0
BOL,2012,5,5,23.8,171.5,65.2,0.0,0
BOL,2016,12,10,25.6,171.3,64.2,0.0,0
BOT,1984,8,6,28.5,176.9,69.5,0.0,0
BOT,1988,11,8,25.2,180.8,70.4,0.0,0
BOT,1992,6,6,27.7,176.8,67.2,0.0,0
BOT,1996,7,4,25.6,173.2,65.6,0.0,0
BOT,2000,9,5,24.9,173.4,65.2,0.0,0
BOT,2004,12,8,24.4,172.5,62.4,0.0,0
BOT,2008,11,11,23.8,175.3,62.7,0.0,0
BOT,2012,4,4,23.5,179.0,65.0,0.0,1
BOT,2016,14,7,21.9,179.4,67.2,1.0,0
BRA,1964,65,17,24.4,183.7,81.3,13.0,12
BRA,1968,89,27,24.9,180.0,76.2,12.0,4
BRA,1972,104,44,23.1,180.2,77.0,4.0,2
BRA,1976,89,47,23.6,177.7,73.0,2.0,3
BRA,1980,149,72,23.3,179.4,74.0,3.0,9
BRA,1984,197,82,24.3,179.2,73.2,9.0,36
BRA,1988,233,106,24.3,179.1,73.4,36.0,23
BRA,1992,233,107,25.2,181.3,74.8,23.0,14
BRA,1996,251,93,25.3,181.0,75.7,14.0,63
BRA,2000,236,96,25.0,177.2,71.3,63.0,48
BRA,2004,318,133,25.3,175.5,69.7,48.0,40
BRA,2008,338,145,25.7,175.7,69.8,40.0,78
BRA,2012,306,138,27.0,177.3,72.1,78.0,59
BRA,2016,583,222,27.2,175.4,71.3,59.0,50
BRN,1988,16,7,23.7,185.6,71.4,0.0,0
BRN,1992,15,10,24.9,167.9,72.8,0.0,0
BRN,2004,10,10,22.6,173.0,66.5,0.0,0
BRN,2008,15,11,24.3,172.3,65.9,0.0,0
BRN,2012,14,11,22.6,167.1,56.4,0.0,1
BRN,2016,33,20,23.4,171.3,61.4,1.0,2
BRU,2000,2,2,26.5,172.0,90.0,0.0,0
BRU,2004,1,1,22.0,173.0,65.0,0.0,0
BRU,2012,3,3,18.7,168.0,59.0,0.0,0
BRU,2016,3,3,23.0,158.0,57.3,0.0,0
BUL,1964,116,56,26.5,172.0,69.6,7.0,10
BUL,1968,189,69,24.3,173.6,69.4,10.0,26
BUL,1972,226,92,23.9,171.4,68.1,26.0,22
BUL,1976,254,108,22.2,170.0,66.3,22.0,39
BUL,1980,397,151,23.1,174.1,69.8,39.0,90
BUL,1988,281,120,23.1,173.5,68.6,90.0,41
BUL,1992,236,116,22.3,171.3,66.8,41.0,17
BUL,1996,181,89,24.1,172.2,67.7,17.0,21
BUL,2000,150,85,25.4,172.9,68.7,21.0,13
BUL,2004,119,94,25.4,175.1,71.5,13.0,17
BUL,2008,87,60,26.6,178.5,74.5,17.0,5
BUL,2012,75,56,26.1,176.6,69.5,5.0,2
BUL,2016,58,51,25.8,174.6,70.5,2.0,7
BUR,1988,9,7,23.8,176.5,71.0,0.0,0
BUR,1992,4,4,25.5,189.7,82.3,0.0,0
BUR,1996,5,5,20.4,172.4,68.0,0.0,0
BUR,2000,4,4,22.2,175.3,72.7,0.0,0
BUR,2004,5,5,28.8,174.0,71.6,0.0,0
BUR,2008,6,6,27.5,172.0,67.2,0.0,0
BUR,2012,5,5,22.8,174.4,68.2,0.0,0
BUR,2016,5,5,22.6,181.0,84.4,0.0,0
CAF,1988,15,4,25.0,189.1,80.4,0.0,0
CAF,1992,21,16,23.5,183.6,72.6,0.0,0
CAF,1996,5,5,25.2,177.2,67.8,0.0,0
CAF,2000,3,3,32.7,178.0,73.3,0.0,0
CAF,2004,4,4,26.0,171.8,60.0,0.0,0
CAF,2008,3,3,21.3,172.5,71.5,0.0,0
CAF,2012,6,6,23.3,171.2,61.0,0.0,0
CAF,2016,6,6,21.5,169.4,61.6,0.0,0
CAM,1972,17,14,23.6,169.2,64.8,0.0,0
CAM,1996,5,5,20.8,163.5,58.2,0.0,0
CAM,2000,4,4,23.8,167.2,62.8,0.0,0
CAM,2004,4,4,20.2,165.5,60.2,0.0,0
CAM,2008,4,4,18.0,166.2,58.2,0.0,0
CAM,2012,6,6,22.5,169.5,60.5,0.0,0
CAM,2016,6,6,29.5,163.5,56.8,0.0,0
CAN,1964,194,92,24.4,175.9,71.6,9.0,5
CAN,1968,291,124,24.0,174.3,69.1,5.0,10
CAN,1972,344,136,23.2,175.4,69.2,10.0,11
CAN,1976,531,173,22.8,175.7,69.0,11.0,23
CAN,1984,572,193,23.7,175.2,70.1,23.0,87
CAN,1988,503,193,24.1,174.8,70.0,87.0,23
CAN,1992,445,199,25.1,175.0,70.2,23.0,44
CAN,1996,408,189,26.4,175.2,69.9,44.0,50
CAN,2000,422,175,26.0,175.6,70.4,50.0,31
CAN,2004,391,151,26.2,174.1,69.4,31.0,17
CAN,2008,449,185,26.5,175.7,71.5,17.0,35
CAN,2012,354,179,26.4,174.6,68.9,35.0,55
CAN,2016,405,175,26.0,174.5,68.4,55.0,69
CAY,1984,14,7,25.0,178.8,72.5,0.0,0
CAY,1988,12,7,22.2,179.1,71.3,0.0,0
CAY,1992,13,7,26.6,180.1,76.0,0.0,0
CAY,1996,9,7,30.8,176.3,69.0,0.0,0
CAY,2000,4,4,24.0,173.2,66.8,0.0,0
CAY,2004,8,8,21.8,174.4,72.6,0.0,0
CAY,2008,6,6,21.8,185.7,82.7,0.0,0
CAY,2012,7,5,23.3,187.0,84.1,0.0,0
CAY,2016,5,5,23.2,179.4,73.6,0.0,0
CGO,1972,8,5,21.4,175.3,68.7,0.0,0
CGO,1980,25,8,26.6,175.0,65.8,0.0,0
CGO,1984,13,10,27.8,173.2,66.2,0.0,0
CGO,1988,10,7,24.3,176.9,66.0,0.0,0
CGO,1992,10,7,24.3,175.6,69.2,0.0,0
CGO,1996,5,5,21.6,176.3,62.3,0.0,0
CGO,2000,5,5,22.2,168.2,58.7,0.0,0
CGO,2004,5,5,22.0,174.8,80.0,0.0,0
CGO,2008,5,5,24.0,176.4,69.0,0.0,0
CGO,2012,7,6,26.1,172.0,67.9,0.0,0
CGO,2016,10,9,24.9,174.9,82.2,0.0,0
CHA,1968,4,3,24.5,180.2,68.0,0.0,0
CHA,1972,5,4,25.0,180.5,79.0,0.0,0
CHA,1984,3,3,28.0,183.7,76.0,0.0,0
CHA,1988,6,6,23.0,177.5,64.7,0.0,0
CHA,1992,7,7,22.1,173.0,63.0,0.0,0
CHA,1996,4,4,21.5,177.5,68.0,0.0,0
CHA,2000,3,3,22.7,173.3,59.0,0.0,0
CHA,2004,1,1,27.0,170.0,59.0,0.0,0
CHA,2008,2,2,22.5,172.5,60.0,0.0,0
CHA,2012,2,2,18.0,170.0,65.0,0.0,0
CHA,2016,2,2,23.5,173.0,51.5,0.0,0
CHI,1964,16,13,27.8,176.3,70.7,0.0,0
CHI,1968,25,19,29.4,172.4,69.9,0.0,0
CHI,1972,13,9,27.5,168.0,65.1,0.0,0
CHI,1976,9,8,27.8,174.2,69.4,0.0,0
CHI,1984,64,25,26.4,175.8,70.1,0.0,0
CHI,1988,23,14,26.8,179.0,77.9,0.0,1
CHI,1992,15,12,27.1,172.9,72.9,1.0,0
CHI,1996,24,18,23.5,173.9,72.8,0.0,0
CHI,2000,58,28,25.9,176.4,70.9,0.0,17
CHI,2004,29,25,26.0,177.6,76.7,17.0,4
CHI,2008,29,26,27.0,175.7,74.6,4.0,1
CHI,2012,44,36,29.8,172.7,69.7,1.0,0
CHI,2016,47,36,27.1,172.7,67.0,0.0,0
CHN,1984,323,105,22.1,172.1,65.7,0.0,74
CHN,1988,427,150,22.5,171.3,65.4,74.0,52
CHN,1992,394,144,22.1,170.9,65.0,52.0,82
CHN,1996,438,155,22.1,170.4,65.3,82.0,106
CHN,2000,414,163,22.6,171.0,64.7,106.0,79
CHN,2004,518,204,23.0,172.8,66.4,79.0,94
CHN,2008,730,257,23.9,176.0,69.9,94.0,184
CHN,2012,479,206,24.0,175.4,68.6,184.0,125
CHN,2016,499,209,24.0,175.0,68.0,125.0,113
CIV,1968,11,7,26.8,177.1,73.2,0.0,0
CIV,1972,13,7,28.2,174.2,72.6,0.0,0
CIV,1976,11,8,20.3,175.4,69.2,0.0,0
CIV,1984,18,14,24.1,175.9,69.7,0.0,1
CIV,1988,29,10,23.1,174.2,66.8,1.0,0
CIV,1992,18,11,23.7,175.6,70.9,0.0,0
CIV,1996,13,8,23.5,184.7,83.7,0.0,0
CIV,2000,18,12,23.6,174.6,72.1,0.0,0
CIV,2004,5,5,24.2,172.8,66.6,0.0,0
CIV,2008,22,7,24.1,178.6,72.6,0.0,0
CIV,2012,10,10,23.7,173.0,65.9,0.0,0
CIV,2016,15,12,26.1,175.5,68.6,0.0,2
CMR,1968,5,5,24.8,169.8,66.4,0.0,1
CMR,1972,18,12,23.2,175.1,69.2,1.0,0
CMR,1976,4,1,23.8,174.0,68.5,0.0,0
CMR,1980,29,23,25.0,174.0,73.4,0.0,0
CMR,1984,56,32,26.1,176.0,74.3,0.0,1
CMR,1988,21,21,23.4,173.5,78.7,1.0,0
CMR,1992,12,9,24.0,168.6,64.2,0.0,0
CMR,1996,19,13,24.2,172.5,65.6,0.0,0
CMR,2000,39,14,22.4,174.9,69.1,0.0,18
CMR,2004,19,15,24.2,174.2,72.1,18.0,1
CMR,2008,32,16,23.2,175.9,72.7,1.0,1
